"Name","Page Type","Content","Spoiler","Bots","Part Category","Parts","Groups","Supergroups","Subpages"
"Centrium Claws","Part","","","","","","","",""
"Centrium Greatsword","Part","","","","","","","",""
"Centrium Heavy Armor Plating","Part","","","","","","","",""
"Centrium Heavy Treads","Part","","","","","","","",""
"Centrium Leg","Part","","","","","","","",""
"Centrium Light Armor Plating","Part","","","","","","","",""
"Centrium Linked Plating","Part","","","","","","","",""
"Centrium Medium Armor Plating","Part","","","","","","","",""
"Centrium Wheel","Part","","","","","","","",""
"Cep. Antigrav Storage Unit","Part","","","","","","","",""
"Cep. Antimissile System","Part","","","","","","","",""
"Cep. Arcsight Missile Launcher","Part","","","","","","","",""
"Cep. Beam Splitter","Part","","","","","","","",""
"Cep. Biometal Exoskeleton","Part","","","","","","","",""
"Cep. Blasthammer","Part","","","","","","","",""
"Cep. Chromion Battery","Part","","","","","","","",""
"Cep. Cloak Mesh","Part","","","","","","","",""
"Cep. Combat Aerolev Unit","Part","","","","","","","",""
"Cep. Concussive Dispersal Blaster","Part","","","","","","","",""
"Cep. Core Analysis Suite","Part","","","","","","","",""
"Cep. Core Shell","Part","","","","","","","",""
"Cep. Countertargeting System","Part","","","","","","","",""
"Cep. Deflector Sword","Part","","","","","","","",""
"Cep. Dimensional Manipulator","Part","","","","","","","",""
"Cep. Disintegration Ray","Part","","","","","","","",""
"Cep. EMP Blanket Launcher","Part","","","","","","","",""
"Cep. Energy Mantle","Part","","","","","","","",""
"Cep. Fieldthrust Drive","Part","","","","","","","",""
"Cep. Gyrokinetic System","Part","","","","","","","",""
"Cep. Hardlight Director","Part","","","","","","","",""
"Cep. Heavy Railcannon","Part","","","","","","","",""
"Cep. Helical Railcannon","Part","","","","","","","",""
"Cep. Hypertargeting System","Part","","","","","","","",""
"Cep. Impact Drone Bay","Part","Deploys [[Impact Drone|Impact Drones]]","","","","","","",""
"Cep. Lightning Penetrator","Part","","","","","","","",""
"Cep. Matter Streamer","Part","","","","","","","",""
"Cep. Melee Reflex Suite","Part","","","","","","","",""
"Cep. Miniperforator","Part","","","","","","","",""
"Cep. NT7 Matterbank","Part","","","","","","","",""
"Cep. Nanofilaments [Conductive]","Part","","","","","","","",""
"Cep. Nanofilaments [Polyglass]","Part","","","","","","","",""
"Cep. Nanofilaments [Tensile]","Part","","","","","","","",""
"Cep. Navigation Harness","Part","","","","","","","",""
"Cep. Network Penetrator","Part","","","","","","","",""
"Cep. Networked Targeting System","Part","","","","","","","",""
"Cep. Phase Shift Module","Part","","","","","","","",""
"Cep. Phasing Heat Sink","Part","","","","","","","",""
"Cep. Plasma Driver","Part","","","","","","","",""
"Cep. Projectile Intercept Suite","Part","","","","","","","",""
"Cep. RG22 Armor","Part","","","","","","","",""
"Cep. Rapid Grenade Launcher","Part","","","","","","","",""
"Cep. Reaction Jets","Part","","","","","","","",""
"Cep. Recoil Nullifier","Part","","","","","","","",""
"Cep. Smart ZDS","Part","","","","","","","",""
"Cep. Tactical Fusion Warhead","Part","","","","","","","",""
"Cep. Thermoelectric Network","Part","","","","","","","",""
"Cep. Tiamat Rocket Array","Part","","","","","","","",""
"Cep. Turbovents","Part","","","","","","","",""
"Cep. Variable Chargecaster","Part","","","","","","","",""
"Cep. Weapon Articulator","Part","","","","","","","",""
"Cep. XC Strikerail","Part","","","","","","","",""
"Cep. Zero-point Core","Part","","","","","","","",""
"Cesium-ion Thruster","Part","","","","","","","",""
"Cetus","Location","Cetus is a [[0b10]]-controlled [[Factory]] branch between -6 and -4 that can only be entered through [[Extension]]. This map is the same every game with no variation. There are 2 groups of a [[Watcher]] + 4 [[Cetus Guard|Cetus Guards]]. One is on the bottom left side of the map and the other is on the top right. In the center is the Cetus Manufacturing Module machine, a few scattered lore [[Terminal|Terminals]], and a Terminal that locks up the Cetus Mainframe.
If [[A7]] is rescued and kept alive, they will provide a special Terminal hack for the manufacturing module that will create 5 Cogmind-controlled [[Enhanced Grunt|Enhanced Grunts]]. A7 also has a special interaction upon seeing the Cetus Mainframe. After exiting the map, they will give a special robot hack that [[Redacted]]decreases the reaction time of [[MAIN.C]], causing them to take much longer to attack[[/Redacted]].
One special bot appears on this map: [[Revision 17]]. After destroying all 8 Cetus Guards, they will appear and thank Cogmind for freeing them. If both Revision 17 and the Cetus Manufacturing Module are still intact when leaving the map, it is possible to [[Revision 17 (Alignment)|align with them]] and cause a special -3 [[Research]] event where Revision 17 attacks the map.
There are no standard [[Extermination Squad|Exterminations]] or [[Assault Squad|Assaults]] on this map. However, there is a special patrol [[C-30 ARC|ARC]] spawn. 750 turns after entering the map and every further 250 turns, 2 ARCs will spawn from random exits and roam around the map. It is best to exit the map before too many of these ARCs start showing up.

[[Heading]]Lore[[/Heading]]
[[Lore]]Cetus Records|Cetus Mainframe[[/Lore]]

[[Heading]]Strategy[[/Heading]]
See [[Strategy/Maps/Cetus]]

[[Heading]]Exits[[/Heading]]
There are 3 exits on this map but only 2 kinds of exits:
[[List]]Main access exits: The exits on the top left/right corners of the map will lead to the next main Factory or Research floor.|[[Archives]]: The exit on the bottom right corner leads to Archives.[[/List]]","Spoiler","","","","","",""
"Cetus Guard","Bot","","","","","","","",""
"Chain Missile Launcher","Part","","","","","","","",""
"Chainsword","Part","","","","","","","",""
"Challenges Achievements","Other","[[Comment]]                       ---NOTE FOR EDITORS---
Once Beta 16 releases, if you decide to update any of the Achievements pages, please consider whether it would be better to separate the new achievements from the old ones or not.
I think that, ideally, whatever you choose to do, that decision should be applied to all Achievements pages, for the sake of consistency.[[/Comment]]

Challenges [[Achievements]] are earned by completing certain challenging feats, demonstrating the player's large experience with the game. Only some of them are likely to be obtained naturally by players not actively trying to earn them. 2 of the 27 Challenges Achievements have hidden descriptions that are only revealed after completing them. The borders of Challenges Achievements tend to indicate their general difficulty as a Challenges Achievement[[Comment]]Rincewind being the biggest exception. Why is that one considered ""easy""? It's basically the most difficult one in here.[[/Comment]], with more ""intense"" borders meaning higher difficulty.

[[Comment]]This warning is supposed to be there for all articles about achievement types, including those that do not have any Redacted-level spoilers.[[/Comment]]
(The visibility for the explanations, strategies and descriptions of hidden achievements is set to at least ""Spoilers"", and may be set to ""Redacted"" for achievements where that would be relevant. Remember to change your spoilers settings to ""None"" if you do not wish to see the explanations, strategies and descriptions of hidden achievements you have not yet obtained!)

[[Comment]]Important note : A lot of Challenges Achievements' descriptions mention by name some spoiler-tier stuff, such as the Cetus Guards or Transdimensional Reconstructors.
Normally, these names would be contained within a Link tag.
However, because those Achievements' descriptions are not hidden by the game (the descriptions themselves aren't spoiler-tier), these names should not be contained within a Link tag, because that would cause them to appear spoilered to anyone with a spoiler setting of ""None"".[[/Comment]]

[[Heading]]Challenge difficulty level 1[[/Heading]]
[[List]]Exterminator: Destroy 15 [[Assembled]] in the [[Mines]].
Strategy: This Achievement is seed-dependent, and may be impossible on some seeds. When attempting to get this Achievement on a random seed, visit the Mines and bring at least one [[Launchers|launcher]]. If an Assembled infestation occurs, try to find and reach the source as quickly as possible, to be able to blow up the Assembled while they are still in a somewhat large group. Having a [[Seismic Detector]] can help locate the Assembled faster.
|Killing Spree: Achieve a kill streak of 20 hostiles.
|Preemptive Strike: Destroy a visible [[Carrier|ARC]] before it deploys.
|Left-hand Path: Destroy all Cetus Guards without any help from allies.
|Below: Visit and survive 2 [[Wastes|Waste]] areas.
|Streaker: Enter a main complex map at -5 or above as a naked core, and find an exit (do not have to remain naked).
|Rincewind: Use at least 10 Transdimensional Reconstructors (any variant).
|Leap Before You Look: Enter 10 unidentified exits.
Strategy: It is possible to deduce the identity of exits without actually ""identifying"" the exit, through various means. For example, successfully hacking branch exits would cause all remaining unidentified exits to be main exits, and vice-versa. It is also possible to identify some exits by where they are or what's around them, such as [[Mines]] exits, which are always surrounded by mining equipment. This is especially true in branches, where all exits are distinguishable from each other. This can allow entering exits the game considers ""unidentified"", while actually knowing where they lead, making this Achievement much easier. If you have a [[Signal Interpreters|Signal Interpreter]] attached, remember to deactivate it before approaching any exits you would want to take while unidentified, as it would automatically identify them.[[/List]]

[[Heading]]Challenge difficulty level 2[[/Heading]]
[[List]]
Boltbath: Achieve a kill streak of 35 hostiles.
|Torch: Inflict 30,000 thermal damage across an entire run.
|Magneto: Inflict 30,000 electromagnetic damage across an entire run.
|Punisher: Inflict 30,000 kinetic damage across an entire run.
|Gladiator: Destroy 200 hostiles via melee.
|Infiltrator: Enter and survive 2 [[Garrison|Garrisons]] on a single floor.
|Desperate Times: Enter a main complex map at -3 or above as a naked core with no inventory items, and find an exit (do not have to remain naked).
|Monster: Kill at least 20 inhabitants of Zion.
|Equal Opportunity Bot: Destroy 30 different classes of robot.
Notes: What counts as a ""class"" isn't immediately obvious. For example, the in-game examination window classifies [[Thug|Thugs]] as ""Thug (Derelict)"" and [[Grunt|Grunts]] as ""Grunt"", but they are considered the same class for scoresheet purposes. This achievement relies on the scoresheet definition, making it somewhat confusing.
As a general rule, robots with different sprites will count as different classes (with the exception of unique NPCs, which do not count at all).
The exact definition is likely related to the ""build type"" and purpose of each robot. For example, both [[Packrat|Packrats]] and [[Recycler|Recyclers]] have the purpose of collecting parts and have similar parts. Both Thugs and Grunts are two-legged, have a [[Cooling Devices|Heat Sink]], and use thermal guns. [[Cobbler|Cobblers]] and [[Mechanic|Mechanics]], however, are completely different in both build and purpose, and as such count as different classes.
The relevant scoresheet statistic is ""Classes Destroyed"".
|Giant Slayer: Destroy 5 [[Behemoth|Behemoths]].
|Artifact Hunter: [[Spoiler]]Attach or use 15 different alien artifacts.[[/Spoiler]]
[[/List]]

[[Heading]]Challenge difficulty level 3[[/Heading]]
[[List]]
Fearless: Enter a [[Garrison]] with below 10% core integrity and survive it.
|Shutout: Seal, jam, or destroy all [[Garrison Access|Garrison Access machines]] in Access.
|WMD: Destroy 100 robots in a single turn.
|Rambo: Earn 10,000 bonus points for high alert combat kills.
|Most Wanted: Trigger [[High Security|high security]] 4 times.
|404: Destroy 4 Network Hubs and escape to the next floor.
|Full Golem: [[Spoiler]]Become a complete Golem.[[/Spoiler]][[Comment]]TODO: This is the achievement with a description that i just guessed. I know it to be technically accurate, but it isn't the same as the actual achievement's description. Once the description is corrected, please remember to delete the warning at the top of the page.[[/Comment]]
|Traitor: Personally kill Warlord in his base and escape. Must initiate hostilities before incursion begins.[[/List]]


This article was last edited during Beta 15.

","","","","","","",""
"Chronowheel","Part","The effect of the Chronowheel allows Cogmind to rewind time as a one time save/load effect. Attaching saves, and after 30 turns (if not destroyed/removed) the load will occur.

[[Heading]]Timeline of Effects[[/Heading]]
[[List]]
1 - [[GameText]]Spacetime feels off.[[/GameText]] log message. Random part art, map sections, and lore text will briefly flash on screen. The frequency of these effects increases as time goes on.|
20 - [[GameText]]Chronowheel is disintegrating...[[/GameText]] log|
28 - [[GameText]]Spacetime is rapidly distorting...[[/GameText]] log|
29 - [[GameText]]Spacetime reconverges on this point.[[/GameText]] log. Turn before attaching the Chronowheel is loaded, Chronowheel is gone.|
When ripping the Chronowheel off instead - [[GameText]]Spacetime feels normal again.[[/GameText]] log
[[/List]]

[[Heading]]Possible Uses of Chronowheel[[/Heading]]
[[List]]
Determining what map an exit goes to (a very expensive one time [[Signal Interpreter]], not really recommended)|
Scouting out a new map or running through a dangerous area (only really viable if fast)|Getting multiple attempts at killing specific NPCs like the [[Data Miner]]|
[[Spoiler]]Using the [[Data Conduit]] and finding the locations of all locations in the game without the negative side effects[[/Spoiler]]|
Getting the chance to reroll a [[RIF]] ability from a RIF Installer|
Attaching unknown [[Alien Artifacts]] or [[Prototype Part|Prototype Parts]] without downsides. This is especially useful if used with a [[Spoiler]][[Core Reset Matrix]], since it will show where all other Alien Artifacts are on the current map.[[/Spoiler]]|
[[Spoiler]]Completing [[Zhirov|Zhirov's]] [[SGEMP Prototype]] quest and obtaining the [[Access]] map intel without actually getting Zhirov to spawn in Access.[[/Spoiler]]
[[/List]]
[[Heading:2]]Secret second effect[[/Heading]]
[[Spoiler]]The Chronowheel also has a hidden secondary effect when paired with the [[Subatomic Replicator]]. First, the warning [[GameText]]Chronowheel temporarily destabilized by failed replication attempt, a second attempt will likely cause a devastating explosion.[[/GameText]] will appear in the log. A second attempt will give the message [[GameText]]Local interference in replication process, triggered subspace vortex.[[/GameText]] A 20 tile radius explosion will then occur at the point of replication, dealing 1000 vortex damage in 10 damage chunks with 0 falloff.[[/Spoiler]]","","","","","","",""
"Chute Trap","Other","Chute Traps are the only way to access [[Wastes]]. They are [[Traps]] found exclusively in the first [[Factory]] map of each depth from -7 to -4. In other words, additional Factory maps reached via Wastes or [[Garrison]] looping do not have any Chute Traps. Like [[Alarm Trap|Alarm Traps]] and [[Ambush Trap|Ambush Traps]], they cannot be extracted using a [[Trap Extractors|Trap Extractor]]. Unlike them, however, Chute Traps can be reprogrammed using a [[Melee Datajacks|Melee Datajack]], not only disarmed.

If [[High Security]] is triggered, all Chute Traps on the map will disappear after 50 turns.

[[Heading]]Effects[[/Heading]]
When triggered, a Chute Trap will bring the victim to the array's Wastes map, permanently sealing itself afterwards. Victims can be followed by triggering a different Chute Trap from the same array. This is because each Chute Trap array leads to a different Wastes map. If Cogmind falls victim to one, Cogmind's [[Alert]] will drop enormously, and any allies currently following Cogmind will fall into Wastes one after the other following Cogmind, so long as they are not immobile, even if there weren't enough remaining Chute Traps for them to follow. If Cogmind follows a purple allied [[Derelict]] into Wastes, the Derelict will thank Cogmind for not abandoning them.
Standing on a known Chute Trap then manually triggering will grant the ""Wheee!"" [[Mechanics Achievements|Mechanics Achievement]] if it wasn't already unlocked.

[[Heading]][[K-01 Serf|K-01 Serf]] Interactions[[/Heading]]
On Factory maps containing Chute Traps, K-01 Serfs sometimes spawn carrying disabled 0b10 bots towards Chutes, and some disabled 0b10 bots can sometimes be stored inside rooms. If a disabled bot is within range of a Worker, the Worker will try to latch onto the bot and push them into the nearest Chute Trap, even if the bot is only temporarily disabled. If a Worker successfully pushes a disabled robot into a Chute Trap, the disabled bot will fall through but the trap will [[I]]not[[/I]] permanently seal itself afterwards. [[Comment]]If Cogmind witness this,[[/Comment]] The Chute Trap will then be revealed (due to a bug in Beta 15, Chute Traps are revealed this way even if Cogmind doesn't witness this happening).

Because Serfs use Chute Traps, the [[GameText]]find_chute[[/GameText]] hack can be used when hacking one using a [[Datajacks|Datajack]], which reveals the nearest Chute Trap the Serf can use.

[[Spoiler]]The [[RIF]] hacks [[GameText]]hold_bot[[/GameText]] and [[GameText]]start_disposal[[/GameText]] can be used together to make a Serf latch onto and move a bot into a Chute Trap, so long as the Serf is not currently evacuating and has access to a Chute Trap. While the [[GameText]]hold_bot[[/GameText]] hack normally has a turn limit of 25, the [[GameText]]start_disposal[[/GameText]] hack overrides it.[[/Spoiler]]

This article was last edited during Beta 15 ","","","","","","",""
"Cld. Aerolev Unit","Part","","","","","","","",""
"Cld. Airjet","Part","","","","","","","",""
"Cld. Antigrav System","Part","","","","","","","",""
"Cld. Antimatter Reactor","Part","","","","","","","",""
"Cld. Cesium-ion Thruster","Part","","","","","","","",""
"Cld. Deuterium Engine","Part","","","","","","","",""
"Cld. Directed Potential Cannon","Part","","","","","","","",""
"Cld. Field Propulsion Drive","Part","","","","","","","",""
"Cld. Fission Core","Part","","","","","","","",""
"Cld. Gravmag System","Part","","","","","","","",""
"Cld. Impulse Thruster","Part","","","","","","","",""
"Cld. Ion Engine","Part","","","","","","","",""
"Cld. Linear Gravjet","Part","","","","","","","",""
"Cld. Nova Cannon","Part","","","","","","","",""
"Cld. Nuclear Pulse Thruster","Part","","","","","","","",""
"Cld. Particle Cannon","Part","","","","","","","",""
"Cld. Phase Cannon","Part","","","","","","","",""
"Cld. Phase Gun","Part","","","","","","","",""
"Cld. Plasma Cannon","Part","","","","","","","",""
"Cld. Plasma Rifle","Part","","","","","","","",""
"Cld. Proton Cannon","Part","","","","","","","",""
"Cld. Pulse Rifle","Part","","","","","","","",""
"Cld. Q-thruster","Part","","","","","","","",""
"Cld. VTOL Module","Part","","","","","","","",""
"Cloak of Protection","Part","","","","","","","",""
"Cloaking Device","Part","","","","","","","",""
"Cloaking Devices","Part Group","[[Heading]]List of Cloaking Devices[[/Heading]]
[[PartGroupTable]]
Cloaking Devices|
Overview/Size|
Overview/Rating|
Overview/Integrity|
Overview/Coverage|
Upkeep/Energy|
Effect/Effect
[[/PartGroupTable]]","","","","Cloaking Device,Mak. Cloaking Device,Imp. Cloaking Device,Adv. Cloaking Device,Exp. Cloaking Device,Cloak of Protection,5H-AD0's Cloak,Cep. Cloak Mesh","","",""
"Cmb. Airjet","Part","","","","","","","",""
"Cmb. Antigrav System","Part","","","","","","","",""
"Cmb. Gravmag System","Part","","","","","","","",""
"Cmb. Linear Gravjet","Part","","","","","","","",""
"Cobbler","Bot","","","","","","","",""
"Cobbler Unit","Part","Produces one of the following items, some of which are rarer than others:

[[Heading]]Common: ~6.66% (1/15) chance of each[[/Heading]]
[[List]]
[[Battle Cannon]]|
[[Battle Rifle]]|
[[Flamer]]|
[[Sub. Beam Cannon]]|
[[Sub. Machine Gun]]|
[[Sub. Monowheel]]|
[[Sub. Laser]]|
[[Sub. Power Source]]|
[[Sub. Shrapnel Launcher]]
[[/List]]

[[Heading]]Uncommon: ~3.33% (1/30) chance of each[[/Heading]]
[[List]]
[[Barrage Gun]]|
[[Mak. Light Armor Plating]]|
[[Piercing Trap]]|
[[Riot Gun]]|
[[Scrap Shield]]|
[[Shrapnel Trap]]|
[[Spk. Treads]]|
[[Sub. Optics]]|
[[Sub. Shrapnel Launcher]]
[[/List]]

[[Heading]]Rare: ~0.66% (1/150) chance of each[[/Heading]]
[[List]]
[[Enh. Flamer]]|
[[Humpback]]|
[[Hvy. Battle Rifle]]|
[[Hvy. Riot Gun]]|
[[Lgt. Humpback]]|
[[Mak. Axe]]|
[[Mak. Flight Unit]]|
[[Mak. Hacking Suite]]|
[[Mak. Hammer]]|
[[Mak. Kinetic Plating]]|
[[Mak. Laser]]|
[[Mak. Leg]]|
[[Mak. Power Source]]|
[[Mak. Shrapnel Gun]]|
[[Mak. Spear]]|
[[Mak. Sword]]|
[[Mak. System Restoration Module]]|
[[Mak. System Shield]]|
[[Mak. Thermal Plating]]|
[[Multitool]]|
[[Ripper]]|
[[Slug Cannon]]
[[/List]]","","","","","","",""
"Cogmind","Bot","That's you.","","","","","","",""
"Coil Gun","Part","","","","","","","",""
"Cold Fusion Reactor","Part","","","","","","","",""
"Com. Battery","Part","","","","","","","",""
"Com. Coil Gun","Part","","","","","","","",""
"Com. Gauss Rifle","Part","","","","","","","",""
"Com. HERF Cannon","Part","","","","","","","",""
"Com. Ion Cannon","Part","","","","","","","",""
"Com. Linear Accelerator","Part","","","","","","","",""
"Com. Mass Driver","Part","","","","","","","",""
"Com. Matter Pod","Part","","","","","","","",""
"Com. Particle Reactor","Part","","","","","","","",""
"Com. Railgun","Part","","","","","","","",""
"Com. Tesla Bomb Launcher","Part","","","","","","","",""
"Com. Wheel","Part","","","","","","","",""
"Combat Drone","Bot","","","","","","","",""
"Combat Drone Bay","Part","Deploys [[Combat Drone|Combat Drones]].","","","","","","",""
"Combat Programmer","Bot","","","","","","","",""
