Type,Category,Name/Number,Content
"Record","0b10","Chute Trap","Short one-way channels from the primary Factory levels into Waste subzones. While normally used to dispose of larger scrap, the entrances to these channels are hidden such that they can also serve as Traps. If triggered by a hostile robot, the channel is permanently sealed from within to prevent escape, and is then relocated to a new area so that trap locations cannot be perfectly mapped."
"Record","0b10","Cogmind","I've made an interesting discovery: The ""Derelict"" recently causing mayhem in the lower levels of Complex 0b10 is actually the missing LRC-V3. Its behavior is quite unpredictable, no doubt a contributing factor in my misclassification since it resembles some of the actual Derelicts lurking in the depths. It won't be much use to capture it now, as it has clearly been tainted from its ""experiences,"" but I should allow it to continue on its own for a time, as this is the perfect opportunity to collect data for further analysis before destroying it. Somewhat vexing is the backdoor I installed into every Leopard FTL Device prototype has been completely non-responsive. In any case, I've thought of a fitting name for this most wonderful of devices. I call it the Cogmind."
"Record","0b10","Combat Hover Systems","As future engagements in off-world locations could very well involve traversing more hostile terrain than seen here on Tau Ceti IV, in order to bring heavier ground-based firepower to bear a new line of combat-oriented hover systems are under development. These include built-in armor and can support nearly as much mass as legs, though move somewhat more slowly than standard hover systems. Demolishers are the first to rely on this technology, but more classes have entered the testing phase as well."
"Record","0b10","Complex 0b1","Primary subterranean facilities below the faux Human city, developed over the several decades following deployment of Project Seraph in 2211. Surrounding the complex are cave systems and old mining tunnels now populated by Derelicts."
"Record","0b10","Complex 0b10","New subterranean complex under construction below the Leopard landing site, providing quicker access to the battle site and ship itself. The complex is divided into three primary levels--Materials, Factory, and Research--with a design focused on efficient development and production of advanced defensive forces."
"Record","0b10","Concept Components","Pre-experimental components still in an early design phase with therefore generally higher faulty rates but also in many cases appear to be promising candidates for fulfilling a useful role. Factors contributing to their development include a better understanding of Sigix Technology, new and effective amalgams of existing technologies, and some even draw on knowledge gained from harvesting Derelict designs. Concept work is carried out solely in the heavily-defended Protoforge, which handles both construction and initial adjustments in the surrounding labs until a new technology is ready for more thorough testing in other annexes."
"Record","0b10","Containment Facilitator","Originally derived from Sigix stasis generator technology as a method of controlling malfunctioning prototype variants, this single-use device is so effective at handling multiple targets that once mass production is feasible it is a prime candidate for deployment among front line combat units."
"Record","0b10","Cooled Power Sources","Among the prototype power sources are cooled variants capable of being pushed to double their energy output at the cost of possibly suffering temporary shutdowns and weakened structural integrity. No robot designs currently employ this technology, but it is being developed as a theoretical way to support vastly more powerful shield generators, or applied in other areas where only short but powerful bursts of energy are required."
"Record","0b10","Cooled Weapons","Taking cues from Sigix Technology, I've been able to vastly improve the efficiency and versatility of early energy weapon designs. Based on recent prototype tests, cooled variants of these weapons output approximately one-third of their previous heat during normal operation, and can be overloaded with a dual burst of energy for twice as much damage potential. However, use of this feature would have to remain situational, as there is a small possibility of severe negative side effects. Overloading a cooled weapon also generates three times as much heat per shot, but that puts it on par with the original design and is often worth the significant damage boost."
"Record","0b10","Core Stripper","While not always successful, this alternative melee weapon used by one of the Sigix strikes a target and delivers a surge of directed energy that aims to rip that target apart at its weakest seams. The Core Stripper is equipped with its own targeting system and tiny thrusters to correct its swing arc while in motion, thus even quickly moving targets have difficulty evading it."
"Record","0b10","DSF","Distributed Storage Facility. An area designated for storage of materials and components. Distribution serves two purposes, making local access to resources easier while also minimizing losses in the event that one is compromised. DSF entrances are temporarily sealed in the event that potential threats appear in the areas they serve."
"Record","0b10","Derelict","A generic term for the many partially functioning and/or errant robots that exist in the Caves and Mines surrounding Complex 0b1. Some are failed experiments, others are common robots glitched beyond repair. In some cases they may communicate with one another and exhibit rudimentary forms of organization, or have developed robotic ecosystems of their own. While I could do more to control their spread, they generally don't cause too much trouble nor pose much of a threat, and I find them an interesting study in robotic evolution. I did unfortunately have to displace some of my favorite Derelict populations during the construction of Complex 0b10."
"Record","0b10","Derelict Prototype","While a majority of Derelict robots are old variants of my own creation, in some cases with minor alterations, reports suggest a growing number of completely new robots under development by the so-called Tinkerers. This is likely in response to the threat Derelict communities perceive in the expansion of Complex 0b10. The Knight, Troll, Dragon, and Hydra classes are especially interesting."
"Record","0b10","Derelict Rail Weapons","Derelicts have been working to develop longer-range cannons for use by larger robots, likely to facilitate guerilla warfare tactics to reduce their generally enormous losses whenever they decide to enter Complex 0b10. The first known type, a version of the gauss cannon, is known as the slug cannon and certainly does significant damage for its weight, but at a reduced accuracy. The newer hypervelocity variant, the bore cannon, is even less accurate, but capable of penetrating multiple targets with a high chance of disabling whatever it penetrates."
"Record","0b10","Derelict Weaponry","Wherever possible Derelict robots tend to salvage and use discarded technology from my operations, but more recently they have begun to develop weapon systems of their own, showing a keen fascination with melee combat and unreliable but sometimes surprisingly powerful projectile weapons. These and other traits again prove that survival is indeed a strong creative motivator. Common Derelict weapons include the Beamcaster, Battle Rifle, and Derelict Rail Weapons, and even some electromagnetic designs like the Riot Gun and Arc Thrower."
"Record","0b10","Dirty Bomb Trap","Likely another product of Derelict Tinkerers, when triggered this bomb generates an unusually high concentration of electromagnetic waves across its radius, capable of disabling an entire squad. An increasing number of patrols sent deep into the Caves have fallen to a combination of these traps and subsequent ambushes."
"Record","0b10","Dirty Datajack","A new type of short-range datajack presumably developed by Derelict Tinkerers. The design is novel, diverging significantly from those developed by my researchers. It is extremely quick to use, but limited in what it can do as a result of lacking access to the garrison relay network. These opportunistic hacking devices are still incapable of any form of direct control and therefore do not yet pose a serious threat. Patrols in the Caves have recently recovered several large stashes of these, suggesting that Derelicts could be staging for some kind of attack."
"Record","0b10","Disintegrator","Based on a rudimentary understanding of the Sigix Matter Drive, this weapon vaporizes a thin cylinder of matter over a short distance. The effect is uniform throughout the cylinder, and concentrated so tightly that zero collateral damage is caused beyond impaled target components, though direct hits almost always completely destroy the local component. A single shot requires a significant pool of energy, which is theoretically sustainable in combination with the latest reactor designs."
"Record","0b10","Dragon","A Derelict Prototype apparently designed specifically to counter Complex 0b10 defenses, employing two nova cannons, presumably to counter Behemoths, as well as a powerful new type of Flamer. If more designs like this enter construction, I may have to launch a pre-emptive strike on the Caves before this escalation becomes a problem."
"Record","0b10","EMDS","The Electromagnetic Delivery System encapsulates a powerful EM pulse device inside a large hypervelocity shell, making it possible to simultaneously strike multiple hardened targets, or penetrate a wall to hit such targets on the other side without a loss of either force or electromagnetic potential. Rather than using multi-direction pulses, each pulse is directed towards a specific target component to increase the chances of corrupting its parent system through brute force."
"Record","0b10","Earth","Third planet from the Sun in the Solar System. Terrestrial homeworld of Human civilization. By the late 21st century that civilization drained the planet's resources and destabilized the environment to the point that global-scale technology was necessary to maintain an increasingly fragile planet."
"Record","0b10","Epsilon Eridani System","Home to a spectral class K2 star 3.22 parsecs from the Sun, Epsilon Eridani is a young star system containing multiple rocky asteroid belts and a number of exoplanets potentially capable of supporting life. Destination of the ISCS Eridanus."
"Record","0b10","Experimental Components","One of the first applications of Sigix Technology has been to make improvements to existing components, focusing on those which will be useful even after major technological breakthroughs replace certain classes of components entirely. However, as even more advanced technologies reach completion some Experimental Components may be retired as well. At that point I should make their destruction a priority to prevent them from falling into Derelict hands."
"Record","0b10","Experimental Legs","New variants of flexi-carbon, myomer, and biometal legs are 25% faster than the average leg design, sacrificing a small amount of support potential for significantly increased speed. The goal is to develop a new line of more maneuverable prototype combat robots, some of which are already in testing."
"Record","0b10","Extension","Access to the Cetus Mainframe from Complex 0b1 has been sealed off, instead connecting it to the better-defended Complex 0b10 via this new tunnel network."
"Record","0b10","Fabricator","Self-contained construction unit capable of building almost any component or robot for which detailed schematics are provided. Initiating a new build process requires an Authchip, but an internal generator provides all the energy required for fabrication, and matter input is drawn from the local network as per fabricator specification, while some schematics may call for preassembled subcomponents. Advanced fabricators can complete complex tasks more quickly."
"Record","0b10","Factory","Mid-levels of Complex 0b10 contain a majority of the fabrication facilities for manufacturing components and assembling robots."
"Record","0b10","Fire Trap","A number of Derelict Caves are protected by traps linking multiple Flamer devices, each one apparently equivalent to the plasma variant employed by the Dragon prototype."
"Record","0b10","Flamer","Flamers may prompt me to rethink a large number of robot designs, as most are weak against sustained high temperatures caused by this primitive weapon, and often shut down or malfunction during confrontations with those Derelicts that employ them. The plasma variant on the Dragon prototype is particularly worrisome."
"Record","0b10","Gamma Refractor","A small percentage of Researcher efforts have recently been allocated to developing weapons of mass destruction to use as a last resort. Refractor Project status: REDACTED."
"Record","0b10","Garrison","Network of corridors linking Complex 0b10 zones to facilitate movement of combat squads responding to threats. Major entrances are reinforced Garrison Access points. Garrisons also house the relays responsible for transmitting commands and remotely augmenting the system defenses of activated squads."
"Record","0b10","Garrison Access","Heavy doorways serving as points of entry and exit from Garrison corridor networks. To ensure safe passage of response squads entering a potential hostile fire zone, the installation itself is reinforced against explosives and kinetic weaponry that might otherwise inflict excessive collateral damage. Corresponding defensive measures have rendered it somewhat weak against thermal attacks. For emergency situations where an area has been overrun, or a garrison has been infiltrated, the entrance and inner tunnel may be permanently sealed to prevent passage and contain the threat."
"Record","0b10","Guided Launchers","Perfect accuracy can be achieved by taking existing launchers and pairing them with redirectable projectiles and a dedicated guidance system. I have yet to deploy any of these systems because demolishers are already incredibly accurate and the goal is to combine this technology with projectiles effective at extreme ranges so that demolishers can support a confrontation from a safe distance by targeting hostiles with assistance from spotters. Integrating the systems does require more space, though attacking from outside a target's field of view means there is little need for protective components."
"Record","0b10","Heavy Quantum Rifle","This newest variant of the quantum rifle, still in testing, is much less fragile and inflicts an average 30% more damage with only a minimal increase in energy input."
"Record","0b10","Heroes of Zion","There are sporadic reports of fairly powerful Derelicts operating in the caves, mostly in a defensive capacity to protect harmless robots against indiscriminatory 0b10 patrols. Dubbed ""Heroes of Zion,"" there probably aren't more than a few of them but I may need to dispatch the Unchained to hunt them down if reports of their effectiveness are confirmed. ""Zion"" must be one of the remaining nearby Derelict communities. Perhaps a few interrogations there will yield more specific information."
"Record","0b10","High Security","Due to the increasing rate of attacks by powerful lone wolf Derelicts entering Complex 0b10, presumably seeking high-tech components or useful data, I've established a new alert level focused on their destruction or, if possible, capture. For this purpose I've also authorized the use of Containment Facilitator technology outside its normal Testing environment."
"Record","0b10","Hub_04(d)","A central hub linked to almost every network in both Complex 0b10 and Complex 0b1. Although vital for normal system operations, local patrols are light since even suicidal attacks here would be futile given the heavy garrison support."
"Record","0b10","Human","Homo sapiens, dominant species in the Solar System until civilization in that system was presumably wiped out during the Solar War."
"Record","0b10","Hydra","Yet another Derelict Prototype, though this one doesn't yet appear to have reached an operational state. A six-headed monstrosity, each mounted with a single heavy battle rifle? I'm not sure where the Tinkerers are coming up with the wild ideas for their prototypes, but I have a hunch that at some point they raided the Cetus Mainframe."
"Record","0b10","Hypervelocity EM Gauss Rifle","Unlike other Hypervelocity Weapons that rely on solid projectiles, this version of the gauss rifle was successfully modified to fire a hypervelocity EM shell which emits a pulse on each penetration, disabling nearly every component or core it passes through."
"Record","0b10","Hypervelocity Weapons","Successful experiments in maintaining the stability of highly compressed matter during high-velocity impact events have enabled the creation of weapons that can accelerate projectiles to greater speeds for penetrating multiple targets. Many new railgun-type ballistic weapons have alternate hypervelocity variants that inflict less collateral damage in exchange for the potential to strike more than one target and reach critical systems, or even bore through thick walls to strike targets on the other side. A unique application of this technique was used in the design of the Hypervelocity EM Gauss Rifle."
"Record","0b10","ISC","International Space Command. A Human organization formed in 2080, tasked with overseeing efforts to explore and colonize the Solar System. Fair bargaining mechanisms within the ISC fostered cooperation among members, and rapid advances were made within a short time span during the 21st century, culminating with the launch of the Interstellar Exploration Fleet in 2140."
"Record","0b10","ISCS Centaurus","Launched as part of the Interstellar Exploration Fleet in 2140, the Centaurus was scheduled to arrive in the Alpha Centauri System in 2164. Communications ceased in 2162 with no indication as to the reason. A subsequent probe sent along the ship's last known path found no evidence of the Centaurus."
"Record","0b10","ISCS Cetus","Launched as part of the Interstellar Exploration Fleet in 2140, the Cetus arrived in the Tau Ceti System in 2211. The Cetus crew and cargo were the most diverse of the fleet, incorporating a variety of civilian, science, and military personnel intended to colonize Tau Ceti IV, but the ship continued past its destination after deploying Project Seraph that year."
"Record","0b10","ISCS Eridanus","Launched as part of the Interstellar Exploration Fleet in 2140, the Eridanus was scheduled to arrive in the Epsilon Eridani System in 2201. It presumably arrived as intended, though the distance is too great to have received any communications to that effect. The Eridanus cargo manifest is classified, the ship having been handed over to the military arm of the ISC before launch."
"Record","0b10","ISCS Leo","Launched as part of the Interstellar Exploration Fleet in 2140, the Leo was scheduled to arrive in the Wolf 359 System in 2185. It presumably arrived as intended, though the distance is too great to have received any communications to that effect. A significant portion of the Leo's crew were science personnel, with a cargo including advanced factories and terraforming modules."
"Record","0b10","Infestation","The Mines and some outlying branches of Complex 0b10 are seeing increasing numbers of a new threat: The Assembled. Until there is sufficient data to discern a pattern behind their movements, Demolisher response squads are the only effective solution, short of making structural changes that would affect the efficiency of the entire complex. Locating the source of the Assemblers is becoming an urgent priority. They are rarely seen in the lowest levels, though this could be purely due to reduced surveillance capabilities in those areas. Encounters are more frequent in mid-levels where they are more easily dealt with, suggesting they are originating from deeper in the Caves, which extend furthest at those depths."
"Record","0b10","Interstellar Exploration Fleet","Built under the direction of the ISC beginning in 2080, the fleet consists of the only four Titan class ships ever constructed: ISCS Leo, ISCS Centaurus, ISCS Eridanus, and ISCS Cetus, all of which departed the Solar System in 2140. After a year of joint maneuvers during which on-board systems underwent extensive testing, the four ships set off for their respective destinations."
"Record","0b10","Knight","A rumored Derelict Prototype still under construction, supposedly to be armed with a single Particle Cleaver of unparalleled slicing power. I hope to see this one in action and perhaps replicate its design."
"Record","0b10","L-Cannon","Although the Leopard was clearly armed with an array of ship-mounted weapons upon landing, most of these were seemingly concealed via a form of spacial cloaking technology I have been unable to reverse engineer. One of the ship's cannons was successfully extracted from the hull, only to discover it is missing a vital core component, perhaps also concealed as a safety measure. This cannon could potentially become an incredibly powerful asset, but first I'll have to determine how to reliably generate and transfer the required amount of concentrated energy to fire it."
"Record","0b10","LRC Attachments","A number of devices recovered from the alien ship, embedded in the Leopard hull itself, seem to resemble the technology behind the Leopard FTL Device. I am unsure what purpose they serve or how to activate them, though they seem compatible with the FTL device. It would be prudent to ensure the Cogmind doesn't come into contact with these objects in case they have some fearsome capabilities that would pose a threat to Complex 0b10 or myself."
"Record","0b10","LRC-V3","A failed Leopard controller device prototype that was moved to storage for later recycling but disappeared shortly after. The disappearance may be related to the recent increase in Derelict activity."
"Record","0b10","Leopard","A Sigix scout class spacecraft. My robots only barely managed to kill or capture the relatively small contingent of Sigix aboard when one landed on Tau Ceti IV earlier this year. I've begun dismantling the ship where it landed, researching its components and technology for replication."
"Record","0b10","Leopard Analysis","The Leopard class Sigix craft is built to serve a reconnaissance role. One of their smallest ships at a length of only 146 meters, it is manned by a crew of 15, though a majority of the ship's functions are automated. The Leopard is powered by a form of FTL drive operated by an unusual device. I have yet to determine the mechanisms involved because the device was damaged in the fighting, having been interconnected with nearly every system on the ship during the attack. While replication of the ship's other technology is proceeding smoothly, attempts to successfully recreate the device have all failed."
"Record","0b10","Leopard Confrontation Review","Sigix Technology is truly superior, a fact I sorely underestimated in luring them here. Fortunately the Leopard landed not too far outside the faux city where my forces were able to ambush them from underground tunnels at the outer reaches of Complex 0b1. Even with the element of surprise on our side, the handful of Sigix soldiers likely held out long enough to inform more of their kind of the encounter. Research must begin immediately to repair the ship and leave this place."
"Record","0b10","Leopard FTL Device","The Leopard's FTL drive, while intact, is controlled by an unusual device which was damaged during the fighting. Numerous replicas have been produced, some with modifications, but all are unresponsive to tests. The strangest aspect of this device is the small amounts of biological matter incorporated into its design. Unsure of its purpose, so far I've simply replicated it at the molecular level and continued testing. More recent analysis of the FTL drive itself suggests it is a volatile warp engine that requires an intelligent controller capable of dynamically recombining with different connections as they fluctuate between various states of matter and energy. One of the early controller device prototypes, LRC-V3, disappeared shortly after it was built, but had already been excluded as a candidate for further testing and improvement."
"Record","0b10","Lightweight Power Sources","Many engines, cores, and reactors have an alternative lightweight variant that retains the generation efficiency of its standard version but minimizes built-in battery space to reduce weight for certain robot designs, especially those with strict weight restrictions such as hovering and flight-based models."
"Record","0b10","MAIN.C","Ha ha ha."
"Record","0b10","Materials","At the deepest levels of Complex 0b10, raw materials are processed for use in manufacturing components and machines. Older technology and prototypes are gradually filtered down to these levels, and older robot variants are responsible for their oversight and maintenance."
"Record","0b10","Matter Drive","Using a technology similar to that employed by the Terrabomb, Matter Drives instead convert nearby earth and rock to pure energy. The Leopard's hull is lined with these, suggesting they could be a way for the ship to quickly burrow into asteroids or solid planetary bodies rather than as a primary source of power. This technology has been weaponized in the form of the Disintegrator prototype."
"Record","0b10","Mines","Deep underground areas newly excavated to provide access to raw materials for processing in the lower levels of Complex 0b10. Initially the mining tunnels only rarely experienced hostile Derelict activity, not enough to justify allocating significant resources to defense. This has recently changed with the Infestation, for which the current response is to dispatch garrisoned Demolishers until a more permanent solution can be put in place."
"Record","0b10","Multirail","The Multirail is a compact railgun system that fires three slugs simultaneously, working on the theory that high-probability penetration at multiple points is more likely to make contact with a core component. Recoil is somewhat of a problem with this weapon, thus it is ideally paired with stabilizers in multi-weapon systems. A hypervelocity variant fires the slugs with four times the penetrating force. Multirail systems have just completed prototype testing and entered production, currently in use on the latest B-99 Colossus and Alpha 7 designs."
"Record","0b10","Myomer Exoskeleton","A resilient full-body bipedal system that serves as both protection and propulsion. The active components are linked to every part of the robot to provide better balance and enable even faster running than the best of leg models. This prototype has only just entered the testing phase and has yet to be deployed."
"Record","0b10","Null Cannon","Based on my theoretical understanding of the Sigix Transdimensional Reconstructor, I've developed a cannon that can for a short duration warp space to permanently alter the structure of this continuum. While there are currently limits on its effectiveness, tests have already proven it to be more damaging than any standard energy cannon, not to mention far less draining than more powerful weapon prototypes like the Potential Cannon and Disintegrator. As such, the Null Cannon is a likely candidate to replace the nova cannon on those robots that can upgrade their power source or install an energy well."
"Record","0b10","Omega Cannon","Full researcher reports have not yet been submitted for this prototype, though it is rated as the most powerful kinetic weapon in my future arsenal, a resource-efficient design with its own built-in stabilization and targeting system."
"Record","0b10","Particle Cleaver","Based on a completely new technology not derived from anything I've created before, I can only assume the Tinkerers had a hand in this one. It appears to be a long ultra-thin axe that can slice through even Centrium, but is itself extremely brittle. I do not yet have access to a prototype, but we will be sure to remove one from the debris of the first Knight to set foot in Complex 0b10."
"Record","0b10","Perforator","An extension of the Multirail, this is the most effective weapon I've devised using purely my own technology. It fires a burst of eleven mini-HV slugs, and has the potential to eliminate an entire squad through thick walls before they even realize they're under attack. With the Perforator's high recoil and relatively low accuracy, it is best used against groups to ensure that both misdirected and penetrating slugs hit additional targets."
"Record","0b10","Potential Cannon","A new experimental energy cannon that triggers and feeds an explosive blast from a single supercharged laser beam. Damage is substantial both at the point of impact and within the blast radius, though the energy falloff is much steeper than with other types of explosions. The cannon's largest drawback is its massive energy drain, requiring a dedicated external battery array and making sustained firing unrealistic."
"Record","0b10","Propulsion Arrays","A number of hover and flight unit designs have been linked into combined modules balanced for greater mass support than when used individually. Pre-balanced arrays also save on robot assembly time."
"Record","0b10","Propulsion Experiments","Recent experiments in propulsion technology are shedding light on the potential to provide old variants with significant performance enhancements by using controlled bursts of power. Though components cannot sustain the load indefinitely and may even take damage in the long term, limiting use of the technique to combat engagements should result in decreased casualties."
"Record","0b10","Protoforge","Research annex built both for sample production of the most advanced prototypes and facilities required for the assembly of Concept Components."
"Record","0b10","Quarantine","Research annex dedicated to analysis of unidentified alien devices as well as experiments on Sigix specimens."
"Record","0b10","Reconstruction Test Results","Aggregate results from all lab tests, combined with analysis of Sigix Exoskeleton remains and sensor data from the surface encounter, have confirmed integrity deterioration within a range of 5-10% to matter that undergoes transdimensional reconstruction using Sigix methods. Phase two will cross reference data with previous attempts at teleportation technology to develop a more effective approach."
"Record","0b10","Recycling","Storage area extension to which obsolete technology is transferred for conversion to raw materials. Derelicts from deeper caves have recently begun using this as a convenience route for quick access to the Factory floors, thus a more secure access system was put in place to at least keep out the stupid ones which tend to cause more trouble."
"Record","0b10","Recycling Unit","Deconstruction apparatus for breaking down old components delivered by Recycler class robots. Condensed matter is contained within the unit until it reaches a certain quota, at which point it is transferred to the nearest DSF."
"Record","0b10","Regenerative Plating","Decades of experimentation recently met with a conclusive breakthrough in self-repairing alloys, perfect for combat robots likely to be in long-term service. I have been hesitant to deploy this technology, however, as adoption by hostile Derelicts could make them significantly more difficult to deal with. The most promising use of this technology beyond its application to standard armors has been the SHELL Armor prototype."
"Record","0b10","Repair Station","Self-contained repair facility capable of restoring the integrity of damaged components. Serious internal issues such as faulty prototypes and component deterioration are beyond the scope of repair. Advanced repair stations can complete complex tasks more quickly."
"Record","0b10","Research","Upper levels of Complex 0b10 are where new technology transported from the Leopard is first analyzed and other derivative technologies are developed. The latest prototypes originate here."
"Record","0b10","Riot Gun","This weapon is without a doubt based on the EM shotgun, though heavily modified to concentrate a greater electromagnetic burst within a much shorter range. As these are the primary armament of Derelict wizards, combat protocol dictates that units engage them at extreme range whenever possible."
"Record","0b10","SHELL Armor","The latest experimental Regenerative Plating, offering the most advanced physical protection of any system to date via a network of shifting plates that rebuild themselves as they are damaged."
"Record","0b10","Scanalyzer","Comprehensive suite of scanning and analysis tools for diagnosing faulty prototypes, examining the properties of self-developed Derelict components, and reverse engineering technology recovered from the surface battle site. Capable of producing schematics for components scanned, though multiple scans may be required and the deconstruction process may render the component itself useless. Advanced scanalyzers are equipped with a wider array of devices for more quickly and safely analyzing esoteric technologies."
"Record","0b10","Section 7","Research annex dedicated to Leopard research."
"Record","0b10","Segregator Trap","Overcomes the Blade Trap's low effectiveness against heavily armored targets by instead utilizing the same controlled energy surge technology found in the saboteur class E-15."
"Record","0b10","Seraph","One of many contingency plans devised on the ISCS Cetus meant to one day deal with a potential alien threat. Project Seraph was deployed in 2211 in response to the 2210 ISC message from Earth. A powerful artificial intelligence dubbed ""MAIN.C"" was put in control of one of the ship's manufacturing facilities which was then detached and dropped on Tau Ceti IV. Its goal was to build a false civilization and construct facilities to mimic the presence of human activity on the planet in order to lure the Sigix there and eliminate them or at least learn their weaknesses. Any information gained through this organically self-designed experiment was to be broadcasted in as many directions as possible to alert any surviving Humans."
"Record","0b10","Shearcannon","A more destructive upgrade to the Sheargun, none of the Sigix carried this weapon into battle, perhaps due to reliability issues, and only one was recovered from the Leopard."
"Record","0b10","Sheargun","Most of the Sigix attackers were carrying one of these, a weapon capable of warping a single thin plane of space rotated perpendicular to the target in an attempt to slice it apart. Following the battle only four shearguns were recovered intact, one of which disappeared from Quarantine shortly after even though under heavy protection."
"Record","0b10","Sigix","An aggressive intelligent alien race that initiated the Solar War in 2198 with a sudden attack on Human civilization there. The only contact I've had with them to date is the Leopard class scout ship that landed in 2243."
"Record","0b10","Sigix Access Protocol","Regardless of authorization, any access to the live Sigix specimen must be carried out under heavy guard, less out of worry for the specimen itself causing problems, and more to prevent unexpected disturbances from outside forces. Only after adequate defenses are stationed and registered should the quarantine chamber be opened: <CODE>."
"Record","0b10","Sigix Autopsy","The Sigix are a bipedal species that appear to have once been similar to Humans in physical stature, but their bodies have since either atrophied or devolved into their current small and frail state. Only their brain remains highly developed, and shares a cellular configuration vaguely resembling that of the biological matter found in the Leopard FTL Device. The Sigix have no apparent way to reproduce, suggesting they may rely purely on genetic engineering and artificial methods of reproduction. Basic life functions are all supported by significant biomechanical augmentations, making them far more resilient than their anatomy would otherwise suggest; all Sigix aboard the Leopard also wore an extremely durable and powerful full-body Sigix Exoskeleton."
"Record","0b10","Sigix Broadsword","The Sigix are apparently not above melee combat. One of their most commonly used weapons during the battle was quite literally a very broad flat blade with amazing slicing power. This weapon doubles as a protective device when turned parallel to the wielder, as its Centrium alloy blade has the stopping power to absorb a barrage of cannon fire without breaking. Even more amazing is the finding that this particular alloy is capable of self-powered regeneration over a period of time. As such, some of the Sigix carry two at a time and during a fight will alternate between using each. They can swing these at great speeds with the power of their Sigix Exoskeleton."
"Record","0b10","Sigix Exoskeleton","All Sigix aboard the Leopard were encased in an extremely powerful full-body exoskeleton which apparently cannot be removed without killing the occupant. It is unknown whether this arrangement is representative of all Sigix members, or only the form of a possible warrior caste. The bipedal design is far faster than any leg system used by my current robots, and can further propel itself via quick leaps with the help of thrusters arrayed on its back and legs. Deceptively large for its agility, the exoskeleton can carry a significant mass with little to no impact on its speed; during the initial confrontation one of the aliens impaled three sentries with a single thrust of its Sigix Broadsword, flying across a hall at top speed to further smash them into a wall."
"Record","0b10","Sigix Technology","While a single Leopard and its contents have provided a wealth of research material, without more reference data or samples to compare against, what I've been able to learn through experimentation is still a mere glimpse of their technological superiority. That I've been unable to extract any information whatsoever from the Sigix captive adds to the frustration. A small number of core Sigix technologies like Centrium alloys have proven easy to replicate, though a majority of the most advanced unique devices remain a mystery. Among those, LRC Attachments have been the most difficult to understand."
