Name,Class,Tier,Threat,Rating,Value,Size Class,Size,Profile,Memory,Spot %,Movement,Speed,Speed %,Sight Range,Energy Generation,Heat Dissipation,Core Integrity,Core Exposure,Core Exposure %,Salvage Potential,Accuracy,Melee Accuracy,Inventory Capacity,Hacking Availability,Hacking Difficulty,Power Slots,Propulsion Slots,Utility Slots,Weapon Slots,Kinetic,Thermal,Explosive,Electromagnetic,Impact,Slashing,Piercing,Immunities,Traits,Fabrication Count,Fabrication Time,Armament,Components,Analysis
"Thief Drone","Drone","1","3","77","","Tiny","1","SQ3X3","50","","Flying","20","500","16","20","20","40","146","39","20~30","60","70","2","MANUAL","","1","9","1","1","","","-25%","-100%","","","","Hacking","","","","Mni. Tearclaws","Mak. Power Source, 9x Mak. Microthruster, Mak. Cloaking Device","",
"Army Drone","Drone","1","3","27","","Tiny","1","SQ3X3","50","","Rolling","80","125","16","20","48","30","560","50","10~20","60","70","","MANUAL","","1","4","3","1","","","-25%","-85%","","","","Hacking","","","","EM Shotgun OR Riot Gun OR Lightning Gun OR Spread Laser OR Med. Laser OR Mak. Laser OR Gatling Laser OR Hvy. Ion Cannon OR Battle Rifle OR Barrage Gun OR Autogun OR Hpw. Shotgun OR Slug Cannon","Mak. Power Source, 4x Wheel, 2x Imp. Heat Sink, Med. Armor Plating OR Reactive Plating OR Reflective Plating OR Insulated Plating OR Imp. Targeting Computer OR Adv. Targeting Computer OR Target Analyzer OR Core Analyzer OR Armor Integrity Analyzer OR Weapon Cycler OR Weapon Shielding","",
"Swarm Drone","Drone","1","3","37","","Tiny","1","SQ3X3","50","","Flying","22","454","16","20","39","20","66","40","20~30","76","70","","MANUAL","","1","2","3","1","","","-25%","-100%","","","","Hacking","","","","Com. Gauss Rifle","Mic. Nuclear Core, 2x Mni. Nuclear Pulse Thruster, Adv. Heat Sink, 2x Adv. Targeting Computer","",
"Combat Drone","Drone","1","3","66","","Tiny","1","SQ3X3","50","","Flying","34","294","22","42","39","50","160","39","20~30","60","70","","MANUAL","","2","3","3","1","","","-25%","-100%","","","","Hacking","","","","Com. Coil Gun","2x Mic. Neutrino Core, Nuclear Pulse Array, Imp. VTOL Module, Adv. Heat Sink, Enh. Optical Array, Imp. Phase Shifter","",
"Assault Drone","Drone","1","4","74","","Tiny","1","SQ3X3","50","","Flying","39","256","22","42","46","50","109","29","30~40","60","70","","MANUAL","","2","3","3","1","","","-25%","-100%","","","","Hacking","","","","Com. Railgun","2x Mic. Neutrino Core, Nuclear Pulse Array, Field Propulsion Drive, Exp. Heat Sink, Enh. Optical Array, Adv. Phase Shifter","",
"Bomb Drone","Drone","1","4","27","","Tiny","1","SQ3X3","50","","Flying","20","500","16","10","20","75","110","50","10~20","60","70","","MANUAL","","","1","","1","","","75%","-100%","","","","Hacking","","","","Detonator","Mak. Microthruster","",
"Impact Drone","Drone","1","4","61","","Tiny","1","SQ3X3","50","","Flying","19","526","16","20","25","70","73","29","20~40","60","82","","MANUAL","","1","3","2","1","","","","-100%","50%","50%","50%","Hacking","","","","Gravity Flail","Mic. Nuclear Core, 3x Mni. Nuclear Pulse Thruster, Adv. Phase Shifter, Exp. Melee Analysis Suite","",
"Wardrone","Drone","1","5","172","","Large","1","RD7X7","50","","Flying","26","384","16","45","68","150","160","25","90~120","60","94","","MANUAL","","1","4","7","4","","","","","","","","Coring, Hacking, Meltdown","","","","4x Nanosword","Quantum Reactor, 4x Cld. Impulse Thruster, Adv. Gravity Neutralizer, Exp. Cooling System, Centrium Medium Armor Plating, 2x Exp. Melee Analysis Suite, Femtoactuators, Exp. Actuator Array","",
"DAS Turret","Turret","7","4","36","","Small","1","SQ3X3","2","","N/A","500","20","22","10","30","100","102","29","40~50","75","70","","MANUAL","","","","","2","25%","","","","","","","Hacking","","","","DAS Cannon","","",
"Autobeam Turret","Turret","2","1","8","30","Small","1","SQ3X3","2","","N/A","100","100","18","30","30","30","42","29","20~30","60","70","","MANUAL","","","","","1","","","50%","","","","","Hacking","","","","Autobeam","","",
"K-01 Serf","Worker","1","1","6","1","Medium","1","RD5X5","10","","Rolling","80","125","14","10","10","10","168","50","10~30","60","70","1","ALL","EASY","1","2","1","1","","","","-25%","","","","","","4","81/40/27","","Lgt. Ion Engine, 2x Wheel, Sml. Matter Pod OR Med. Matter Pod","K-class workers perform menial tasks such as clearing debris to facilitate work by other robots. Their built-in compact recycling unit can break down almost any form of debris into reusable matter. As K-01 Serfs are extremely cheap to produce and perform no vital function, despite their size they are among the weakest robot designs with the most exposed core.",
"U-05 Engineer","Builder","1","1","10","5","Medium","1","RD5X5","10","","Rolling","80","125","14","10","10","10","189","39","10~30","60","70","","ALL","EASY","1","2","3","1","","","","-25%","","","","","","","","Welding Torch","Lgt. Ion Engine, 2x Wheel, Terrain Scanner, Terrain Scan Processor, Structural Scanner","U-class builders lay floors, assemble new machines, and reinforce and analyze the structural integrity of walls. They travel alone, but all those within a certain vicinity will work together to complete a task. ",
"T-07 Excavator","Tunneler","1","1","10","7","Medium","1","RD5X5","10","","Rolling","80","125","14","10","10","10","193","39","10~30","60","70","","ALL","EASY","1","2","2","1","","","","-25%","","","","","","2","81/40/27","Mining Laser","Lgt. Ion Engine, 2x Wheel, Imp. Terrain Scanner, Seismic Detector","T-class tunnelers analyze subsurface integrity and open new areas for expansion.",
"A-02 Transporter","Hauler","1","1","10","2","Medium","1","RD5X5","10","","Treading","160","62","14","10","10","15","143","29","40~60","60","70","1","ALL","EASY","1","2","3","","","","","-25%","","","","","","1","81/40/27","","Ion Engine, 2x Lgt. Treads, Weight Redist. System, Transport Network Coupler, Med. Storage Unit","A-series haulers transport matter and parts vital to construction and manufacturing. To minimize losses during derelict incursions, like most other maintenance robots they are of relatively sturdy construction, but remain somewhat susceptible to electromagnetic damage as such weaponry is not prevalent enough to warrant specialized defenses.",
"A-15 Conveyor","Hauler","5","1","23","15","Large","1","SQ9X9","10","","Treading","160","62","14","12","10","40","143","29","80~120","60","70","","ALL","EASY","1","2","3","","","","","-25%","","","","","","1","152/76/50","","Imp. Ion Engine, 2x Med. Treads, Adv. Weight Redist. System, Transport Network Coupler, Lrg. Storage Unit","A larger version of the A-02, with 67% greater storage capacity and advanced weight redistribution technology.",
"A-27 Freighter","Hauler","7","1","93","27","Large","1","SQ9X9","10","","Treading","160","62","14","29","39","100","544","39","90~150","60","70","","ALL","EASY","1","4","7","3","","","","-25%","","","","","","1","187/93/62","PD Laser","Deuterium Engine, 2x Imp. Heavy Treads, Gravity Neutralizer, Transport Network Coupler, Com. Battery, Adv. Heat Sink, Coolant Injector, Cargo Storage Unit","A-27 Freighters are only dispatched to carry the most important of payloads, and as such are equipped with a repurposed laser-based missile defense system to ward off smaller derelicts. Although prone to overheating if engaged in prolonged solo combat, their defenses are augmented by powerful escorts to ensure they arrive at their destination.",
"R-06 Scavenger","Recycler","1","1","8","6","Medium","1","RD5X5","10","","Rolling","100","100","14","10","10","15","116","39","50~100","60","70","1","ALL","EASY","1","2","2","","","","","-25%","","","","","","2","81/40/27","","Lgt. Ion Engine, 2x Com. Wheel, Tractor Beam, Sml. Storage Unit","R-series recyclers collect used, damaged, or unregistered components for recycling and repurposing. To minimize losses during derelict incursions, like most other maintenance robots they are of relatively sturdy construction, but remain somewhat susceptible to electromagnetic damage as such weaponry is not prevalent enough to warrant specialized defenses.",
"R-10 Processor","Recycler","5","2","20","10","Large","1","SQ9X9","10","","Rolling","100","100","14","12","15","40","166","39","100~160","60","70","1","ALL","EASY","1","4","3","","","","","-25%","","","","","","2","152/76/50","","Imp. Ion Engine, 4x Com. Wheel, Hpw. Tractor Beam, Med. Storage Unit, Field Recycling Unit","A larger version of the R-06, with twice the storage capacity as well as the ability to begin the recycling process while en route to the recycling unit.",
"C-30 ARC","Carrier","2","3","27","30","Large","1","SQ9X9","10","","Rolling","90","111","14","12","10","80","139","29","80~120","60","70","2","ALL","GREAT","1","4","1","","50%","","","-25%","25%","25%","25%","","","","","","Imp. Ion Engine, 4x Arm. Wheel, Hcp. Storage Unit","C-class Armored Robot Carriers are disposable transports designed to rapidly deploy an assault force to a flash point. ARCs are hardened against kinetic attacks that might otherwise penetrate the shell and damage one or more of the robots compacted within.",
"M-14 Sweeper","Minesweeper","3","1","15","14","Medium","1","RD5X5","10","","Rolling","80","125","14","10","20","30","67","24","20~40","60","70","10","ALL","AVERAGE","1","2","2","1","","","50%","","","","","","","1","116/58/38","Datajack","Lgt. Ion Engine, 2x Wheel, Trap Scanner, Trap Extractor","Minesweepers are a new class derived from the mechanic, though built around a more secure core than normally found among non-combat robots, for added protection while carrying out their primary duty. Sweeper deployment only recently became necessary as a result of increasing derelict use of traps in the caves to impede patrol efforts.",
"M-22 Extractor","Minesweeper","5","1","23","22","Medium","1","RD5X5","10","","Rolling","80","125","14","15","20","40","67","24","20~40","60","70","10","ALL","AVERAGE","1","2","2","1","","","50%","","","","","","","1","152/76/50","Imp. Datajack","Lgt. Ion Engine, 2x Wheel, Imp. Trap Scanner, Imp. Trap Extractor","M-22 Extractors are outfitted with better datajacking and extraction technology than their predecessors, and are currently assigned to mid-level cave networks.",
"M-30 Cleanser","Minesweeper","7","1","33","30","Medium","1","RD5X5","10","","Rolling","80","125","14","15","20","50","67","24","20~40","60","70","10","ALL","AVERAGE","1","2","2","1","","","50%","","","","","","","1","187/93/62","Adv. Datajack","Lgt. Ion Engine, 2x Wheel, Adv. Trap Scanner, Adv. Trap Extractor","M-30 Cleansers are the most effective minesweeper variant, utilizing the latest in datajacking and extraction technology.",
"M-13 Machinist","Mechanic","1","1","14","13","Medium","1","RD5X5","10","","Rolling","80","125","14","15","20","15","117","39","20~40","60","70","12","ALL","AVERAGE","1","2","2","","","","","","","","","","","1","81/40/27","","Lgt. Ion Engine, 2x Wheel, Machine Analyzer, Recalibrator","M-series mechanics are valued in dangerous areas for their ability to rebuild components, repair simple core integrity, and restore missing functionality by attaching temporary backup components. Despite their well-rounded protective armor, M-13 Machinists in particular are less often used as frontline units, instead operating from a designated repair station.",
"M-28 Smith","Mechanic","3","2","23","28","Medium","1","RD5X5","10","","Rolling","80","125","14","19","20","30","117","39","40~60","60","70","12","ALL","AVERAGE","1","2","2","","","","","","","","","","","1","116/58/38","","Lgt. Deuterium Engine, 2x Wheel, Machine Analyzer, Imp. Recalibrator","M-series mechanics are valued in dangerous areas for their ability to rebuild components, repair simple core integrity, and restore missing functionality by attaching temporary backup components. M-28 Smiths are sometimes dispatched to support an assault force, or are otherwise assigned to a designated repair station.",
"M-36 Artificer","Mechanic","7","3","36","36","Medium","1","RD5X5","10","","Rolling","80","125","14","23","20","50","117","39","60~80","60","70","12","ALL","AVERAGE","1","2","2","","","","","","","","","","","1","187/93/62","","Lgt. Angular Momentum Engine, 2x Wheel, Machine Analyzer, Adv. Recalibrator","M-series mechanics are valued in dangerous areas for their ability to rebuild components, repair simple core integrity, and restore missing functionality by attaching temporary backup components. M-36 Artificers are sometimes dispatched to support an assault force, or are otherwise assigned to a designated repair station.",
"O-16 Technician","Operator","1","1","10","16","Medium","1","RD5X5","10","50","Hovering","56","178","14","10","15","15","128","40","10~20","60","70","1","ALL","AVERAGE","1","2","1","1","","","","-50%","","-25%","","","","1","81/40/27","Datajack","Lgt. Ion Engine, 2x Hover Unit, Hacking Suite","O-series operators manage local robot activity and machine processes via dedicated terminals. They are also capable of hacking and repurposing errant derelicts, but faced with an armed threat will instead call for reinforcements, lock their terminal to protect it, and attempt to escape before their unique data core can be poached by hostiles. O-16 Technicians are not built for combat, thus their sensitive systems are especially susceptible to electromagnetic damage.",
"O-24 Administrator","Operator","3","2","26","24","Medium","1","RD5X5","10","50","Hovering","56","178","14","14","15","30","139","39","20~30","60","70","1","ALL","AVERAGE","1","2","3","1","","","","-50%","","-25%","","","","1","116/58/38","Imp. Datajack","Lgt. Deuterium Engine, 2x Imp. Hover Unit, System Restoration Module, Hacking Suite, System Shield","O-24 Administrators share many similarities with low-level O-16 Technicians, but despite the class' highly sensitive electronics they can somewhat mitigate the long-term negative effects of electromagnetic attacks via their restoration module.",
"O-32 Director","Operator","7","3","45","32","Medium","1","RD5X5","10","50","Hovering","56","178","14","18","15","50","139","39","30~40","60","70","1","ALL","AVERAGE","1","2","3","1","","","","-50%","","-25%","","","","1","187/93/62","Adv. Datajack","Lgt. Angular Momentum Engine, 2x Gravmag System, Imp. System Restoration Module, Imp. Hacking Suite, Imp. System Shield","O-32 Directors are the leading O-class robot, managing the most advanced terminals and protected by armor close to that of similarly rated frontline combat units. Director armor is not, however, specialized enough to prevent penetrating electromagnetic attacks, the long-term effects of which can be mitigated by their dedicated system restoration module.",
"N-00 Fly","Drone","1","2","7","","Tiny","1","SQ3X3","50","75","Hovering","56","178","18","10","15","10","171","50","5~15","60","70","","MANUAL","","1","2","1","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Ion Engine, 2x Hover Unit, Visual Processing Unit","Drones are a miniature version of the W-class Scout, launched by H-series robots to hunt down and report target positions. Like the watcher series they are extremely susceptible to electromagnetic attacks, while their tiny size also leaves them prone to being disabled by concussive blasts.",
"N-01 Spotter","Drone","1","3","8","1","Tiny","1","SQ3X3","48","75","Hovering","56","178","20","10","15","10","171","50","5~15","60","70","","MANUAL","","1","2","1","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Ion Engine, 2x Hover Unit, Adv. Visual Processing Unit","N-01 Spotter-variant drones are expendable watcher alternatives stationed in areas that themselves hold little importance, but are connected to other more vital zones. There they scan for potential threats and relay information to distant garrisons to enable advance preparations. Like the watcher series they are extremely susceptible to electromagnetic attacks, while their tiny size also leaves them prone to being disabled by concussive blasts.",
"N-04 Retriever","Drone","1","1","30","1","Tiny","1","SQ3X3","10","","Hovering","36","277","16","14","15","30","73","29","5~10","60","70","5","MANUAL","","1","2","1","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Deuterium Engine, 2x Linear Gravjet, Plexus Tether","",
"W-16 Scout","Watcher","1","1","9","16","Small","1","SQ3X3","50","100","Hovering","56","178","18","15","15","12","124","39","10~30","60","70","","ALL","AVERAGE","1","2","3","","","","","-100%","","","","","Sensor Jamming: Prevents Sensor Arrays within range from pinpointing signals, but gives away its position in the process.","2","81/40/27","","Lgt. Ion Engine, 2x Hover Unit, Visual Processing Unit, Sensor Array, Signal Interpreter","W-series watchers are equipped with a wide variety of sensors to excel at surveillance. However, their heavy reliance on highly-exposed advanced electronic systems means they are extremely susceptible to electromagnetic attacks. On detecting intruders, a W-16 Scout will alert all nearby combat units and continue to provide position updates as long as the hostile is visible. They are also capable of leveraging their sensor package to jam any other sensor arrays within their range, thereby essentially cloaking other robots within their area of influence from hostile scans.",
"W-25 Informer","Watcher","3","2","19","25","Small","1","SQ3X3","50","100","Hovering","56","178","18","19","15","23","124","39","20~40","60","70","","ALL","AVERAGE","1","2","3","","","","","-100%","","","","","Sensor Jamming: Prevents Sensor Arrays within range from pinpointing signals, but gives away its position in the process.","2","116/58/38","","Lgt. Deuterium Engine, 2x Imp. Hover Unit, Visual Processing Unit, Imp. Sensor Array, Imp. Signal Interpreter","An upgrade to the W-16 Scout, Informers improve on the Scout's sensor and jamming range, and have access to even more specific signal interpretation data. As unarmed surveillance units rather than frontline combatants, agility is preferred over additional armor to protect their systems from electromagnetic damage.",
"W-44 Eye","Watcher","7","3","41","44","Small","1","SQ3X3","50","100","Hovering","56","178","20","26","25","45","124","39","30~50","60","70","","ALL","AVERAGE","1","2","3","","","","","-100%","","","","","Sensor Jamming: Prevents Sensor Arrays within range from pinpointing signals, but gives away its position in the process.","2","187/93/62","","Lgt. Antimatter Reactor, 2x Antigrav System, Adv. Visual Processing Unit, Adv. Sensor Array, Adv. Signal Interpreter","The W-44 Eye is the ultimate surveillance robot, with among the best visual range of any class and the most powerful non-experimental sensors available.",
"S-10 Pest","Swarmer","1","1","5","10","Small","1","SQ3X3","20","30","Flying","37","270","16","15","18","8","180","50","10~20","60","70","","ALL","AVERAGE","1","2","","1","","","-25%","","","","","","","4","81/40/27","Lgt. Assault Rifle","Lgt. Ion Engine, 2x Flight Unit","S-series swarmers are small with a weak and exposed core, but as such are quick to manufacture and can quickly overwhelm targets with greater numbers and superior speed. The light assault rifle was designed specifically for the S-10 Pest, giving it respectable firepower at a low weight for maintaining high flight speeds. Swarmer squads are particularly susceptible to explosives.",
"S-27 Virus","Swarmer","4","2","12","27","Small","1","SQ3X3","20","30","Flying","32","312","16","19","22","18","220","50","20~30","60","70","","ALL","AVERAGE","1","2","","1","","","-25%","","","","","","","4","134/67/44","Autogun","Lgt. Nuclear Core, 2x VTOL Module","The S-27 Virus replaces the S-10's light armament with a much more effective autogun, giving the swarmer a faster firing rate that complements its movement speed. Better propulsion provides sufficient support for additional armor, enough for the core to sustain a direct hit under some circumstances.",
"S-43 Plague","Swarmer","8","3","30","43","Small","1","SQ3X3","20","30","Flying","34","294","16","26","30","30","250","50","30~40","60","70","","ALL","AVERAGE","1","3","","1","","","-25%","","","","","","","4","204/102/68","Hvy. Machine Gun","Lgt. Antimatter Reactor, 3x Xenon Bombardment Thruster","S-43 Plague design is completely centered around its heavy machine gun. With a good chance to sustain at least one direct hit to the core, a group of S-43s can perforate most targets before suffering heavy losses. Powerful explosives are the only way to easily overcome an S-43 squad.",
"C-17 Slicer","Cutter","3","2","25","17","Small","1","SQ3X3","30","30","Flying","29","344","16","19","55","20","400","50","15~25","60","70","","ALL","AVERAGE","1","3","1","2","","","","","","","","","","3","116/58/38","Concussive RPG, Blade Saw","Lgt. Nuclear Core, 3x Surge Thruster, Reaction Control System","C-series cutters are most often dispatched to areas where they are more likely to encounter fast hostiles, firing a lightweight single-shot RPG to disorient targets before moving in at full speed on overloaded thrusters. By quickly closing the distance, as a group they have a good chance of using their saws to sever multiple parts from an opponent in order to quickly disable it.",
"C-35 Carver","Cutter","6","3","42","35","Small","1","SQ3X3","30","30","Flying","24","416","16","25","75","27","372","50","25~35","60","75","","ALL","AVERAGE","1","3","2","2","","","","","","","","","","3","169/84/56","Imp. Concussive RPG, Carbide Saw","Mic. Nuclear Core, 3x Imp. Surge Thruster, Imp. Reaction Control System, Melee Analysis Suite","In addition to better components across the board, the C-35 Carver also improves on the C-17 by adding melee analysis capabilities.",
"C-57 Dissector","Cutter","9","4","59","57","Small","1","SQ3X3","30","30","Flying","19","526","16","55","150","35","372","50","35~45","60","76","","ALL","AVERAGE","1","3","2","2","","","","","","","","","","3","222/111/74","Adv. Concussive RPG, Dual-blade Saw","Mic. Fission Core, 3x Adv. Surge Thruster, Adv. Reaction Control System, Imp. Melee Analysis Suite","C-57 Dissectors are even deadlier than their predecessors, armed with a second saw blade for extra cutting power as well as being both harder to hit and capable of reaching high enough speeds that few known derelict builds can outrun them.",
"E-15 Imp","Saboteur","5","2","14","15","Small","1","SQ3X3","20","50","Flying","32","312","16","15","20","8","160","50","10~20","60","70","","ALL","AVERAGE","1","2","1","1","","","","","","","","","","2","152/76/50","Segregator","Lgt. Ion Engine, 2x Cesium-ion Thruster, Propulsion Shielding","Only dispatched to support an assault force, the Imp is designed to quickly rush targets, latch on, then overload their own power source to create a directed charge that blasts pieces clean off the target. While their armor has no particular weakness, E-15 cores are relatively exposed and low on integrity, keeping them light enough to rapidly close on threats.",
"G-34 Mercenary","Grunt","1","1","8","34","Medium","1","RD5X5","20","20","Walking","120","83","16","15","25","15","200","40","30~50","60","70","1","ALL","AVERAGE","1","2","1","1","","","","-25%","","","","","","3","81/40/27","Sml. Laser","Ion Engine, 2x Aluminum Leg, Heat Sink","G-series grunts serve as low-level frontline combat units, of sturdy construction but with fairly weak armament. Internal systems are not as protected as they could be, to enable rapid repair in the field, but this also makes them somewhat susceptible to additional damage from electromagnetic attacks. Grunts patrol in groups, or sometimes operate alone as hauler escorts to protect those with more valuable cargo.",
"G-47 Trooper","Grunt","3","2","16","47","Medium","1","RD5X5","20","20","Walking","120","83","16","19","40","30","200","40","40~60","60","70","1","ALL","AVERAGE","1","2","1","1","","","","-25%","","","","","","3","116/58/38","Particle Gun","Lgt. Nuclear Core, 2x Aluminum Leg, Imp. Heat Sink","The G-47 Trooper replaces the G-34's laser with a more effective particle gun. However, during prolonged confrontations the G-47 is prone to overheating as its upgraded weaponry produces more heat than the design can fully dissipate.",
"G-50 Soldier","Grunt","5","3","29","50","Medium","1","RD5X5","20","20","Walking","120","83","16","23","42","45","200","40","50~70","60","70","1","ALL","AVERAGE","1","2","1","1","","","","-25%","","","","","","3","152/76/50","Hvy. Laser","Lgt. Angular Momentum Engine, 2x Carbon-fiber Leg, Adv. Heat Sink","G-50 Soldiers are each equipped with a heavy laser, a significant upgrade from its predecessor the G-47, but like the G-47 are prone to overheating. Also still somewhat weak against electromagnetic attacks.",
"G-67 Veteran","Grunt","7","4","47","67","Medium","1","RD5X5","20","20","Walking","120","83","16","26","55","60","253","39","60~85","60","70","1","ALL","AVERAGE","1","2","2","2","","","","-25%","","","","","","3","187/93/62","Plasma Rifle, Field Laser","Lgt. Antimatter Reactor, 2x Flexi-carbon Leg, 2x Adv. Heat Sink","The first G-series robot armed with two thermal weapons, while integrating enough advanced heat sinks to fire them non-stop.",
"G-73 Enforcer","Grunt","9","5","58","73","Medium","1","RD5X5","20","20","Walking","120","83","16","30","63","70","253","39","70~100","60","70","1","ALL","AVERAGE","1","2","2","2","","","","-25%","","","","","","3","222/111/74","Phase Gun, Hvy. Laser","Lgt. Quantum Reactor, 2x Myomer Leg, 2x Adv. Heat Sink","The latest G-series implementation, armed with a powerful phase gun supported by a secondary heavy laser. While not exceptionally effective in single combat, the G-73 is much more formidable in groups, as they normally operate.",
"B-36 Bruiser","Brawler","2","1","10","36","Medium","1","RD5X5","30","20","Treading","160","62","16","17","15","20","258","34","50~60","60","70","1","ALL","AVERAGE","1","2","1","1","","","","","25%","25%","","","","3","99/49/33","Hammer","Rnf. Ion Engine, 2x Lgt. Treads, Lgt. Armor Plating","B-series brawlers are a melee variant of the grunt class, engaging targets at close range with the support of ranged combat units. They are protected by additional armor to increase their chances of survival while closing distance with a target, after which their hammer can quickly crush vital components and diminish the target's ability to operate.",
"B-48 Gladiator","Brawler","4","2","20","48","Medium","1","RD5X5","30","20","Treading","160","62","16","21","15","45","258","34","60~75","60","70","1","ALL","AVERAGE","1","2","1","1","","","","","25%","25%","","","","3","134/67/44","Mace","Rnf. Deuterium Engine, 2x Lgt. Treads, Imp. Light Armor Plating","B-48 Gladiators are better armored than the B-36, replace the hammer with a slightly more damaging mace, and like other B-series brawlers are only dispatched in coordination with grunts.",
"B-60 Warrior","Brawler","6","3","30","60","Medium","1","RD5X5","30","20","Treading","160","62","16","24","15","65","298","34","70~90","60","70","1","ALL","AVERAGE","1","2","1","1","","","","","25%","25%","","","","3","169/84/56","Hvy. Mace","Rnf. Fission Core, 2x Imp. Treads, Imp. Medium Armor Plating","B-60 Warriors carry a heavier version of the B-48's mace, and additional armor. Like other B-series robots, the B-60's armor structure is reinforced against the slashes and broad impacts of melee damage.",
"B-74 Champion","Brawler","8","4","42","74","Medium","1","RD5X5","30","20","Treading","160","62","16","26","20","85","500","34","80~105","60","70","1","ALL","AVERAGE","1","2","2","1","","","","","25%","25%","","","","3","204/102/68","Powered Hammer","Rnf. Antimatter Reactor, 2x Med. Treads, Hvy. Armor Plating","The heaviest and most heavily armored brawler, highly likely to reach a target even under sustained fire, and highly likely to wreak havoc with its powered hammer.",
