Collected,Name,Type,Slot,Size,Mass,Rating,Category,Integrity,No Repairs,Coverage,Special Trait,Life,Energy Upkeep,Matter Upkeep,Heat Generation,Energy Generation,Energy Storage,Power Stability,Time/Move,Mod/Extra,Drag,Energy/Move,Heat/Move,Support,Penalty,Burnout,Siege,Range,Shot Energy,Shot Matter,Shot Heat,Recoil,Targeting,Delay,Overload Stability,Waypoints,Arc,Projectile Count,Damage,Damage Type,Critical,Penetration,Heat Transfer,Spectrum,Disruption,Salvage,Explosion Radius,Explosion Damage,Falloff,Explosion Type,Explosion Heat Transfer,Explosion Spectrum,Explosion Disruption,Explosion Salvage,Effect,Description,Hackable Schematic,Fabrication Number,Fabrication Time,Fabrication Components
"198","Lgt. Nuclear Core","Power Core","Power","1","5","3","","50","","60","","","","","7","9","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","73/36/24","",
"118","Imp. Deuterium Engine","Engine","Power","1","10","4","","80","","60","","","","","7","11","190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","84/42/28","",
"33","Rnf. Deuterium Engine","Engine","Power","1","15","4","","160","","60","","","","","10","11","190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","84/42/28","",
"21","Hvy. Deuterium Engine","Engine","Power","1","11","4","Prototype","120","","60","","","","","7","13","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","134/67/44","",
"8","Cld. Deuterium Engine","Engine","Power","1","11","4","Prototype","120","","60","","","","","3","13","210","99%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","134/67/44","",
"29","Enh. Nuclear Core","Power Core","Power","1","8","4","Prototype","120","","60","","","","","8","12","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","134/67/44","",
"51","Mic. Nuclear Core","Power Core","Power","1","6","4","","50","","30","","","","","7","10","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","84/42/28","",
"31","Mak. Power Source","Engine","Power","1","4","4","","50","1","50","","","","","7","10","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","84/42/28","",
"19","Angular Momentum Engine","Engine","Power","1","13","5","","90","","60","","","","","8","13","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","95/47/31","",
"81","Lgt. Angular Momentum Engine","Engine","Power","1","9","5","","60","","60","","","","","7","13","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","95/47/31","",
"15","F-cell Engine","Engine","Power","1","12","5","Prototype","135","","60","","","","","7","14","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","152/76/50","",
"36","Fission Core","Power Core","Power","1","10","5","","90","","60","","","","","8","13","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","95/47/31","",
"51","Lgt. Fission Core","Power Core","Power","1","7","5","","60","","60","","","","","8","13","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","95/47/31","",
"38","Cold Fusion Reactor","Reactor","Power","1","12","5","Prototype","150","","60","","","","","","12","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","152/76/50","",
"30","Neutrino Core","Power Core","Power","1","14","6","","95","","60","","","","","8","14","215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","106/53/35","",
"20","Lgt. Neutrino Core","Power Core","Power","1","8","6","Prototype","80","","50","","","","","8","14","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","169/84/56","",
"36","Rnf. Fission Core","Power Core","Power","1","21","6","","250","","60","","","","","12","14","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","106/53/35","",
"6","Enh. Fission Core","Power Core","Power","1","13","6","Prototype","150","","60","","","","","8","16","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","169/84/56","",
"1","Cld. Fission Core","Power Core","Power","1","14","6","Prototype","150","","60","","","","","4","16","250","99%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","169/84/56","",
"129","Mic. Fission Core","Power Core","Power","1","5","6","","60","","30","","","","","8","10","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","106/53/35","",
"12","Fusion Reactor","Reactor","Power","1","12","6","Prototype","120","","60","","","","","15","18","195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","169/84/56","",
"93","Antimatter Reactor","Reactor","Power","1","16","7","","100","","60","","","","","9","16","225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","117/58/39","",
"104","Lgt. Antimatter Reactor","Reactor","Power","1","12","7","","70","","60","","","","","9","16","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","117/58/39","",
"18","Rnf. Antimatter Reactor","Reactor","Power","1","24","7","","300","","60","","","","","13","16","225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","117/58/39","",
"7","Backup Power VII","Power Core","Power","1","4","7","","50","1","40","","","","","6","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"24","Hvy. Antimatter Reactor","Reactor","Power","1","18","7","Prototype","180","","60","","","","","9","20","240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","187/93/62","",
"53","Mni. Fusion Reactor","Reactor","Power","1","8","7","Prototype","100","","40","","","","","15","16","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","187/93/62","",
"1","Mic. Neutrino Core","Power Core","Power","1","5","7","Prototype","130","1","20","","","","","5","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"42","Zio. Light DM Reactor","Reactor","Power","1","10","7","Prototype","110","1","60","","","","","20","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"11","Zio. Heavy DM Reactor","Reactor","Power","1","20","7","Prototype","130","1","60","","","","","30","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"62","Particle Reactor","Reactor","Power","1","18","8","","110","","60","","","","","9","18","240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","128/64/42","",
"69","Lgt. Particle Reactor","Reactor","Power","1","14","8","","75","","60","","","","","9","18","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","128/64/42","",
"16","Com. Particle Reactor","Reactor","Power","1","12","8","Prototype","90","","30","","","","","9","18","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","204/102/68","",
"9","Cld. Antimatter Reactor","Reactor","Power","1","18","8","Prototype","110","","60","","","","","4","18","280","99%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","204/102/68","",
"9","Graviton Reactor","Reactor","Power","1","15","8","Prototype","110","","60","","","","","7","24","240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","204/102/68","",
"51","Asb. Flux Generator","Reactor","Power","2","40","8","Prototype","350","1","160","","","","","8","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"104","Quantum Reactor","Reactor","Power","1","20","9","","120","","60","","","","","10","20","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","139/69/46","",
"74","Lgt. Quantum Reactor","Reactor","Power","1","15","9","","80","","60","","","","","9","20","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","139/69/46","",
"21","Rnf. Quantum Reactor","Reactor","Power","1","30","9","","360","","60","","","","","15","20","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","139/69/46","",
"57","Imp. Quantum Reactor","Reactor","Power","1","17","9","Prototype","125","1","60","","","","","2","24","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","222/111/74","",
"70","Zero-point Reactor","Reactor","Power","1","15","9","Prototype","150","1","40","","","","","7","28","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","222/111/74","",
"65","Vortex Chain Reactor","Reactor","Power","2","35","9","Prototype","300","1","120","","","","","12","50","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","222/111/74","",
"3","Singularity Reactor","Reactor","Power","3","50","9","Prototype","600","1","240","","","","","5","70","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","222/111/74","",
"1815","Lgt. Treads","Treads","Propulsion","1","","1","","140","","120","","","","","","","","","160","","20","2","1","20","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","51/25/17","",
"207","Imp. Treads","Treads","Propulsion","1","","2","","155","","120","","","","","","","","","160","","20","2","1","23","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","62/31/20","",
"1","Spk. Treads","Treads","Propulsion","1","","2","","200","1","140","","","","","","","","","160","","20","2","1","20","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","","2","62/31/20","",
"163","Arm. Treads","Treads","Propulsion","1","","3","","300","","160","","","","","","","","","170","","20","2","1","20","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","73/36/24","",
"129","Adv. Treads","Treads","Propulsion","1","","3","","170","","120","","","","","","","","","145","","20","3","1","22","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","73/36/24","",
"172","Med. Treads","Treads","Propulsion","1","","4","","185","","120","","","","","","","","","160","","20","3","1","28","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","84/42/28","",
"76","Imp. Medium Treads","Treads","Propulsion","1","","5","","200","","120","","","","","","","","","160","","20","3","2","30","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","95/47/31","",
"11","Spk. Medium Treads","Treads","Propulsion","1","","5","","300","1","140","","","","","","","","","160","","20","3","2","28","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","","2","95/47/31","",
"71","Arm. Medium Treads","Treads","Propulsion","1","","6","","450","","160","","","","","","","","","170","","20","3","2","27","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","106/53/35","",
"108","Hvy. Treads","Treads","Propulsion","2","","6","","500","","240","","","","","","","","","160","","40","5","3","70","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","2","106/53/35","",
"20","Adv. Medium Treads","Treads","Propulsion","1","","7","","230","","120","","","","","","","","","145","","20","5","2","30","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","117/58/39","",
"2","Enh. Armored Medium Treads","Treads","Propulsion","1","","7","Prototype","500","","160","","","","","","","","","160","","20","4","2","35","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","1","187/93/62","",
"31","Imp. Heavy Treads","Treads","Propulsion","2","","7","","550","","240","","","","","","","","","160","","40","6","3","75","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","2","117/58/39","",
"6","Hvy. Siege Treads","Treads","Propulsion","2","","7","","500","","280","","","","","","","","","180","","50","5","10","70","90","","High","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","2","117/58/39","",
"-1","Spk. Heavy Treads","Treads","Propulsion","2","","7","","650","1","280","","","","","","","","","160","","40","7","4","75","100","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","20% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","","2","117/58/39","",
"31","Biometal Medium Treads","Treads","Propulsion","1","","8","","245","","120","","","","","","","","","145","","20","4","2","35","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","2","128/64/42","",
"71","Arm. Heavy Treads","Treads","Propulsion","2","","8","","900","","320","","","","","","","","","170","","40","7","4","60","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","2","128/64/42","",
"28","Adv. Heavy Treads","Treads","Propulsion","2","","8","","600","","240","","","","","","","","","145","","40","10","4","70","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","2","128/64/42","",
"6","Imp. Heavy Siege Treads","Treads","Propulsion","2","","8","","550","","280","","","","","","","","","180","","50","6","10","75","90","","High","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","2","128/64/42","",
"83","Centrium Heavy Treads","Treads","Propulsion","2","","8","Prototype","800","","240","","","","","","","","","160","","40","7","4","80","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","1","204/102/68","",
"-1","Megatreads","Treads","Propulsion","6","","8","","4000","1","960","","","","","","","","","275","","120","50","80","600","90","","High","","","","","","","","","","","","","","","","","","","","","","","","","","","","35% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-6 recoil from each weapon, and immunity to knockback.","","","","",
"74","Biometal Heavy Treads","Treads","Propulsion","2","","9","","650","","240","","","","","","","","","145","","40","7","3","75","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","2","139/69/46","",
"48","Exp. Biometal Heavy Treads","Treads","Propulsion","2","","9","Prototype","850","1","240","","","","","","","","","135","","40","8","4","85","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","1","222/111/74","",
"30","Enh. Armored Heavy Treads","Treads","Propulsion","2","","9","Prototype","1200","1","320","","","","","","","","","160","","40","7","3","80","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","1","222/111/74","",
"20","Adv. Heavy Siege Treads","Treads","Propulsion","2","","9","","600","","280","","","","","","","","","160","","50","7","8","80","90","","High","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","2","139/69/46","",
"38","Hdn. Centrium Heavy Treads","Treads","Propulsion","2","","9","Prototype","1000","1","240","","","","","","","","","160","","40","7","4","90","80","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-2 recoil from each weapon, and immunity to knockback.","1","1","222/111/74","",
"15","Exp. Biometal Medium Treads","Treads","Propulsion","1","","9","Prototype","400","1","120","","","","","","","","","135","","20","4","2","40","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5% chance to crush robots when ramming them. Cannot crush targets of large or greater size, or those with more than 50 core integrity.
 <stacks, capped at 35%>","-1 recoil from each weapon, and immunity to knockback.","1","1","222/111/74","",
"253","Aluminum Leg","Leg","Propulsion","1","","1","","90","","80","","","","","","","","","120","","10","2","1","10","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","3","51/25/17","",
"46","Imp. Aluminum Leg","Leg","Propulsion","1","","2","","100","","80","","","","","","","","","120","","10","2","1","13","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","62/31/20","",
"212","Carbon-fiber Leg","Leg","Propulsion","1","","3","","110","","80","","","","","","","","","120","","10","2","1","15","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","73/36/24","",
"25","Titanium Leg","Leg","Propulsion","1","","3","","145","","80","","","","","","","","","130","","10","4","2","17","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","73/36/24","",
"8","VSS Leg","Leg","Propulsion","1","","3","","90","","60","","","","","","","","","90","","10","6","2","12","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","73/36/24","",
"33","Imp. Carbon-fiber Leg","Leg","Propulsion","1","","4","","125","","80","","","","","","","","","120","","10","2","1","18","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","84/42/28","",
"86","Imp. Titanium Leg","Leg","Propulsion","1","","4","","165","","80","","","","","","","","","130","","10","4","1","20","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","84/42/28","",
"29","Mak. Leg","Leg","Propulsion","1","","4","","90","1","80","","","","","","","","","140","","10","1","","20","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","","2","84/42/28","",
"186","Flexi-carbon Leg","Leg","Propulsion","1","","5","","135","","80","","","","","","","","","120","","10","3","2","20","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","95/47/31","",
"23","Arm. Leg","Leg","Propulsion","1","","5","","330","","100","","","","","","","","","120","","10","2","2","16","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","95/47/31","",
"2","Imp. VSS Leg","Leg","Propulsion","1","","5","","110","","60","","","","","","","","","90","","10","8","2","15","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","1","2","95/47/31","",
"32","Zio. Composite Leg I","Leg","Propulsion","1","","5","Prototype","200","1","60","","","","","","","","","110","","10","3","1","24","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each active leg slot provides a 20% chance to kick targets out of the way. Not applicable against huge targets. Moving on legs also confers the Running state, which increases evasion but decreases accuracy, each by 5% per level of momentum (up to 3).","","","","",
